energy_code,country_code,year,electricity_ktoe,country,energy_source
C0000X0350-0370,LU,1996,0.0,Luxembourg,Other / combined category
C0000X0350-0370,LV,1996,0.0,Latvia,Other / combined category
C0000X0350-0370,MT,1996,0.0,Malta,Other / combined category
C0000X0350-0370,NL,1996,2219.862,Netherlands,Other / combined category
C0000X0350-0370,NO,1996,4.213,Norway,Other / combined category
C0000X0350-0370,PL,1996,11649.269,Poland,Other / combined category
C0000X0350-0370,PT,1996,1079.364,Portugal,Other / combined category
C0000X0350-0370,RO,1996,1760.189,Romania,Other / combined category
C0000X0350-0370,SE,1996,317.369,Sweden,Other / combined category
C0000X0350-0370,SI,1996,383.835,Slovenia,Other / combined category
C0000X0350-0370,SK,1996,506.363,Slovakia,Other / combined category
FE,AT,1996,1529.096,Austria,Final energy consumption (context)
FE,BE,1996,2686.242,Belgium,Final energy consumption (context)
FE,BG,1996,1867.154,Bulgaria,Final energy consumption (context)
FE,CY,1996,224.334,Cyprus,Final energy consumption (context)
FE,CZ,1996,4188.478,Czechia,Final energy consumption (context)
FE,DE,1996,31309.028,Germany,Final energy consumption (context)
FE,DK,1996,4425.537,Denmark,Final energy consumption (context)
FE,EE,1996,782.115,Estonia,Final energy consumption (context)
FE,EL,1996,3269.561,Greece,Final energy consumption (context)
FE,ES,1996,6516.767,Spain,Final energy consumption (context)
FE,FI,1996,2763.199,Finland,Final energy consumption (context)
FE,FR,1996,3726.999,France,Final energy consumption (context)
FE,HR,1996,283.835,Croatia,Final energy consumption (context)
FE,HU,1996,1775.838,Hungary,Final energy consumption (context)
FE,IE,1996,1561.221,Ireland,Final energy consumption (context)
FE,IT,1996,16580.396,Italy,Final energy consumption (context)
FE,LT,1996,166.724,Lithuania,Final energy consumption (context)
FE,LU,1996,31.346,Luxembourg,Final energy consumption (context)
FE,LV,1996,108.77,Latvia,Final energy consumption (context)
FE,MT,1996,142.562,Malta,Final energy consumption (context)
FE,NL,1996,6809.966,Netherlands,Final energy consumption (context)
FE,NO,1996,34.308,Norway,Final energy consumption (context)
FE,PL,1996,11963.027,Poland,Final energy consumption (context)
FE,PT,1996,1602.15,Portugal,Final energy consumption (context)
FE,RO,1996,3773.603,Romania,Final energy consumption (context)
FE,SE,1996,1061.909,Sweden,Final energy consumption (context)
FE,SI,1996,407.309,Slovenia,Final energy consumption (context)
FE,SK,1996,857.968,Slovakia,Final energy consumption (context)
N900H,AT,1996,0.0,Austria,Heat pumps (renewable)
N900H,BE,1996,3726.225,Belgium,Heat pumps (renewable)
N900H,BG,1996,1554.772,Bulgaria,Heat pumps (renewable)
N900H,CY,1996,0.0,Cyprus,Heat pumps (renewable)
N900H,CZ,1996,1104.901,Czechia,Heat pumps (renewable)
N900H,DE,1996,13758.899,Germany,Heat pumps (renewable)
N900H,DK,1996,0.0,Denmark,Heat pumps (renewable)
N900H,EE,1996,0.0,Estonia,Heat pumps (renewable)
N900H,EL,1996,0.0,Greece,Heat pumps (renewable)
N900H,ES,1996,4843.508,Spain,Heat pumps (renewable)
N900H,EU27_2020,1996,71476.182,EU27 (total of EU),Heat pumps (renewable)
N900H,FI,1996,1674.635,Finland,Heat pumps (renewable)
N900H,FR,1996,34165.09,France,Heat pumps (renewable)
N900H,HR,1996,0.0,Croatia,Heat pumps (renewable)
N900H,HU,1996,1219.261,Hungary,Heat pumps (renewable)
N900H,IE,1996,0.0,Ireland,Heat pumps (renewable)
N900H,IT,1996,0.0,Italy,Heat pumps (renewable)
N900H,LT,1996,1198.796,Lithuania,Heat pumps (renewable)
N900H,LU,1996,0.0,Luxembourg,Heat pumps (renewable)
N900H,LV,1996,0.0,Latvia,Heat pumps (renewable)
N900H,MT,1996,0.0,Malta,Heat pumps (renewable)
N900H,NL,1996,357.696,Netherlands,Heat pumps (renewable)
N900H,NO,1996,0.0,Norway,Heat pumps (renewable)
N900H,PL,1996,0.0,Poland,Heat pumps (renewable)
N900H,PT,1996,0.0,Portugal,Heat pumps (renewable)
N900H,RO,1996,119.175,Romania,Heat pumps (renewable)
N900H,SE,1996,6386.414,Sweden,Heat pumps (renewable)
N900H,SI,1996,399.57,Slovenia,Heat pumps (renewable)
N900H,SK,1996,967.24,Slovakia,Heat pumps (renewable)
RA000,AT,1996,3077.411,Austria,Renewables (total)
RA000,BE,1996,48.237,Belgium,Renewables (total)
RA000,BG,1996,248.323,Bulgaria,Renewables (total)
RA000,CY,1996,0.0,Cyprus,Renewables (total)
RA000,CZ,1996,194.411,Czechia,Renewables (total)
RA000,DE,1996,2282.975,Germany,Renewables (total)
RA000,DK,1996,178.757,Denmark,Renewables (total)
RA000,EE,1996,0.602,Estonia,Renewables (total)
RA000,EL,1996,377.128,Greece,Renewables (total)
RA000,ES,1996,3546.948,Spain,Renewables (total)
RA000,EU27_2020,1996,30553.358,EU27 (total of EU),Renewables (total)
RA000,FI,1996,1527.17,Finland,Renewables (total)
RA000,FR,1996,5769.591,France,Renewables (total)
RA000,HR,1996,676.844,Croatia,Renewables (total)
RA000,HU,1996,22.093,Hungary,Renewables (total)
RA000,IE,1996,65.626,Ireland,Renewables (total)
RA000,IT,1996,3974.463,Italy,Renewables (total)
RA000,LT,1996,28.031,Lithuania,Renewables (total)
RA000,LU,1996,6.487,Luxembourg,Renewables (total)
RA000,LV,1996,160.086,Latvia,Renewables (total)
RA000,MT,1996,0.0,Malta,Renewables (total)
RA000,NL,1996,156.144,Netherlands,Renewables (total)
RA000,NO,1996,8957.352,Norway,Renewables (total)
RA000,PL,1996,177.472,Poland,Renewables (total)
RA000,PT,1996,1357.18,Portugal,Renewables (total)
RA000,RO,1996,1354.686,Romania,Renewables (total)
RA000,SE,1996,4643.415,Sweden,Renewables (total)
RA000,SI,1996,315.821,Slovenia,Renewables (total)
RA000,SK,1996,363.457,Slovakia,Renewables (total)
RA100,AT,1996,2942.054,Austria,Hydropower
RA100,BE,1996,20.55,Belgium,Hydropower
RA100,BG,1996,248.323,Bulgaria,Hydropower
RA100,CY,1996,0.0,Cyprus,Hydropower
RA100,CZ,1996,169.304,Czechia,Hydropower
RA100,DE,1996,1887.962,Germany,Hydropower
