freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GEP,C0000X0350-0370,KTOE,NO	4.987 	4.213 	3.697 	3.611 	3.525 	3.439 	3.525 	3.525 	3.611 	3.697 	3.611 	3.697 	3.697 	3.353 	3.525 	3.611 	3.353 	3.353 	3.439 	3.267 	3.353 	3.611 	3.697 	3.794 	3.837 	3.867 	3.800 	3.647 	2.315 	: 
A,GEP,C0000X0350-0370,KTOE,PL	11329.751 	11649.269 	11585.641 	11541.617 	11463.972 	11684.265 	11605.331 	11431.986 	12094.411 	12134.222 	12199.570 	12640.413 	12382.545 	11942.820 	11469.390 	11738.091 	12017.025 	11571.195 	11841.617 	11136.715 	11222.614 	11205.675 	11277.603 	11226.393 	10158.516 	9234.543 	10969.199 	10724.612 	8499.445 	8039.216 
A,GEP,C0000X0350-0370,KTOE,PT	1152.709 	1079.364 	1114.015 	1030.009 	1293.723 	1254.944 	1169.905 	1307.997 	1249.097 	1277.558 	1309.200 	1286.156 	1066.036 	962.683 	1108.856 	610.490 	846.776 	1125.279 	1017.885 	1027.687 	1266.294 	1085.985 	1261.049 	1032.361 	475.726 	203.189 	68.788 	0.000 	0.000 	0.000 
A,GEP,C0000X0350-0370,KTOE,RO	1770.679 	1760.189 	1449.871 	1245.486 	1262.597 	1627.343 	1693.379 	1746.518 	2007.223 	1847.206 	1884.437 	2162.167 	2157.868 	2220.378 	1869.991 	1778.246 	2130.868 	1969.132 	1456.234 	1527.343 	1558.469 	1365.520 	1442.835 	1345.271 	1170.978 	804.811 	919.053 	891.296 	692.910 	608.824 
A,GEP,C0000X0350-0370,KTOE,SE	195.099 	317.369 	172.657 	175.580 	192.777 	140.671 	161.565 	204.041 	244.712 	86.844 	55.718 	75.580 	55.804 	44.196 	44.282 	87.876 	56.492 	41.531 	56.148 	31.900 	33.276 	22.614 	27.687 	28.805 	18.229 	0.086 	0.946 	0.860 	2.322 	1.118 
A,GEP,C0000X0350-0370,KTOE,SI	395.873 	383.835 	404.643 	428.547 	385.211 	396.475 	422.958 	455.890 	439.209 	446.346 	453.224 	467.412 	471.367 	457.696 	441.273 	454.686 	456.320 	442.390 	419.261 	323.216 	377.042 	430.782 	414.800 	397.444 	385.467 	375.153 	330.896 	269.287 	270.732 	300.779 
A,GEP,C0000X0350-0370,KTOE,SK	555.030 	506.363 	540.843 	503.955 	547.979 	480.138 	500.602 	443.250 	512.984 	488.478 	475.924 	456.492 	412.898 	401.720 	331.470 	306.965 	305.589 	293.723 	264.316 	247.034 	243.336 	240.671 	257.180 	258.899 	200.946 	160.447 	146.002 	138.951 	104.987 	45.228 
A,GEP,FE,KTOE,AT	1399.328 	1529.096 	1536.198 	1451.342 	1510.538 	1411.768 	1618.144 	1615.856 	1962.988 	1918.003 	2029.435 	1858.661 	1697.704 	1716.779 	1644.095 	1970.487 	1835.808 	1493.547 	1211.497 	981.325 	1226.813 	1218.686 	1408.012 	1287.188 	1392.305 	1183.341 	1219.595 	1222.659 	939.036 	942.221 
A,GEP,FE,KTOE,BE	2707.825 	2686.242 	2567.928 	3022.442 	2880.396 	2886.672 	2682.201 	2789.424 	3008.598 	2932.552 	2956.895 	2876.852 	2996.000 	2821.362 	3181.484 	3300.516 	2794.411 	2633.396 	2353.586 	2152.210 	2371.453 	2250.894 	2313.723 	2386.761 	2522.014 	2580.414 	2231.803 	2220.568 	1853.126 	1524.438 
A,GEP,FE,KTOE,BG	1910.060 	1867.154 	1901.634 	1847.549 	1672.571 	1702.064 	1912.640 	1698.452 	1893.293 	1843.680 	1803.697 	1870.249 	2181.685 	2223.302 	2011.350 	2146.652 	2558.126 	2188.478 	1887.928 	2034.222 	2112.468 	1868.874 	1998.051 	1808.557 	1698.407 	1386.733 	1761.798 	2092.841 	1200.107 	964.101 
A,GEP,FE,KTOE,CY	214.703 	224.334 	234.566 	257.180 	269.905 	289.768 	305.331 	325.451 	348.409 	361.221 	376.268 	399.914 	418.573 	435.426 	445.744 	451.333 	408.512 	383.491 	340.757 	346.776 	355.546 	383.749 	392.877 	394.079 	397.828 	365.653 	373.574 	376.953 	364.249 	374.129 
